auth_name,code,name,proj4string
EPSG,2000,Anguilla 1957 / British West Indies Grid,+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995 +x_0=400000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2001,Antigua 1943 / British West Indies Grid,+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995 +x_0=400000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2002,Dominica 1945 / British West Indies Grid,+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995 +x_0=400000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2003,Grenada 1953 / British West Indies Grid,+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995 +x_0=400000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2004,Montserrat 1958 / British West Indies Grid,+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995 +x_0=400000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2005,St. Kitts 1955 / British West Indies Grid,+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995 +x_0=400000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2006,St. Lucia 1955 / British West Indies Grid,+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995 +x_0=400000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2007,St. Vincent 45 / British West Indies Grid,+proj=tmerc +lat_0=0 +lon_0=-62 +k=0.9995 +x_0=400000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2009,NAD27(CGQ77) / SCoPQ zone 3,+proj=tmerc +lat_0=0 +lon_0=-58.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2010,NAD27(CGQ77) / SCoPQ zone 4,+proj=tmerc +lat_0=0 +lon_0=-61.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2011,NAD27(CGQ77) / SCoPQ zone 5,+proj=tmerc +lat_0=0 +lon_0=-64.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2012,NAD27(CGQ77) / SCoPQ zone 6,+proj=tmerc +lat_0=0 +lon_0=-67.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2013,NAD27(CGQ77) / SCoPQ zone 7,+proj=tmerc +lat_0=0 +lon_0=-70.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2014,NAD27(CGQ77) / SCoPQ zone 8,+proj=tmerc +lat_0=0 +lon_0=-73.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2015,NAD27(CGQ77) / SCoPQ zone 9,+proj=tmerc +lat_0=0 +lon_0=-76.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2016,NAD27(CGQ77) / SCoPQ zone 10,+proj=tmerc +lat_0=0 +lon_0=-79.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2017,NAD27(76) / MTM zone 8,+proj=tmerc +lat_0=0 +lon_0=-73.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2018,NAD27(76) / MTM zone 9,+proj=tmerc +lat_0=0 +lon_0=-76.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2019,NAD27(76) / MTM zone 10,+proj=tmerc +lat_0=0 +lon_0=-79.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2020,NAD27(76) / MTM zone 11,+proj=tmerc +lat_0=0 +lon_0=-82.5 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2021,NAD27(76) / MTM zone 12,+proj=tmerc +lat_0=0 +lon_0=-81 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2022,NAD27(76) / MTM zone 13,+proj=tmerc +lat_0=0 +lon_0=-84 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2023,NAD27(76) / MTM zone 14,+proj=tmerc +lat_0=0 +lon_0=-87 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2024,NAD27(76) / MTM zone 15,+proj=tmerc +lat_0=0 +lon_0=-90 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2025,NAD27(76) / MTM zone 16,+proj=tmerc +lat_0=0 +lon_0=-93 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2026,NAD27(76) / MTM zone 17,+proj=tmerc +lat_0=0 +lon_0=-96 +k=0.9999 +x_0=304800 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2027,NAD27(76) / UTM zone 15N,+proj=utm +zone=15 +ellps=clrk66 +units=m +no_defs +type=crs
